1,金刚伏魔剑,1,1,1,1110,1000,0,0,0,5,"[0,0,0]",4,4,10,1,{},0,"",[],1,"{""BaseHp"":2239,""DcMin"":139,""DcMax"":223,""Ac"":139}","{""BaseHp"":2239,""DcMin"":139,""DcMax"":223,""Ac"":139}",0,[],0,[],0,[],11104,平生不修善果，只爱杀人放火，忽地顿开金绳，这里扯断玉锁，今日方知我是我,0,[],[],0,0,"[[1,50200,5000]]",0,0,0,"[[1,53300,50]]",10000
111011,玄铁剑法,1,1,1,1110,0,0,0,0,1,"[0,0,0]",1,1,1,1,{},0,"",[],1,"{""BaseHp"":25,""DcMin"":1,""DcMax"":2,""Ac"":1}","{""BaseHp"":25,""DcMin"":1,""DcMax"":2,""Ac"":1}",0,[],0,[],0,[],11101,可凝练出厚重而坚固剑势。,0,[],[],0,0,"[[1,50200,500]]",0,0,0,"[[1,53300,50]]",10000
113011,青霜剑法,1,3,1,1130,0,0,0,0,1,"[0,0,0]",1,1,1,1,{},0,"",[],1,"{""BaseHp"":25,""DcMin"":1,""DcMax"":2,""Ac"":1}","{""BaseHp"":25,""DcMin"":1,""DcMax"":2,""Ac"":1}",0,[],0,[],0,[],11601,剑法带着淡淡的青色寒光锐利。,0,[],[],0,0,"[[1,50200,500]]",0,0,0,"[[1,53300,50]]",10000
111012,玄铁剑法,1,1,1,1110,2,0,0,0,2,"[0,0,0]",1,1,1,1,{},0,"",[],0,"{""BaseHp"":33,""DcMin"":2,""DcMax"":3,""Ac"":2}","{""BaseHp"":33,""DcMin"":2,""DcMax"":3,""Ac"":2}",0,[],0,[],0,[],11101,可凝练出厚重而坚固剑势。,0,[],[],0,0,"[[1,50200,500]]",0,0,0,"[[1,53300,50]]",10000
111013,玄铁剑法,1,1,1,1110,3,0,0,0,3,"[0,0,0]",1,1,1,1,{},0,"",[],1,"{""BaseHp"":67,""DcMin"":4,""DcMax"":6,""Ac"":4}","{""BaseHp"":67,""DcMin"":4,""DcMax"":6,""Ac"":4}",0,[],0,[],0,[],11101,可凝练出厚重而坚固剑势。,0,[],[],0,0,"[[1,50200,500]]",0,0,0,"[[1,53300,50]]",10000
111014,玄铁剑法,1,1,1,1110,4,0,0,0,4,"[0,0,0]",1,1,1,1,{},0,"",[],1,"{""BaseHp"":84,""DcMin"":5,""DcMax"":8,""Ac"":5}","{""BaseHp"":84,""DcMin"":5,""DcMax"":8,""Ac"":5}",0,[],0,[],0,[],11101,可凝练出厚重而坚固剑势。,1,"[100,999999]",[10002],1,1,"[[1,50200,500]]",0,0,0,"[[1,53300,50]]",10000
111015,玄铁剑法,1,1,1,1110,1000,0,0,0,5,"[0,0,0]",1,1,1,1,{},0,"",[],1,"{""BaseHp"":266,""DcMin"":16,""DcMax"":26,""Ac"":16}","{""BaseHp"":266,""DcMin"":16,""DcMax"":26,""Ac"":16}",0,[],0,[],0,[],11101,可凝练出厚重而坚固剑势。,1,"[100,999999]","[10001,10002]",1,2,"[[1,50200,500]]",0,0,0,"[[1,53300,50]]",10000
113012,青霜剑法,1,3,1,1130,2,0,0,0,2,"[0,0,0]",1,1,1,1,{},0,"",[],1,"{""BaseHp"":33,""DcMin"":2,""DcMax"":3,""Ac"":2}","{""BaseHp"":33,""DcMin"":2,""DcMax"":3,""Ac"":2}",0,[],0,[],0,[],11601,剑法带着淡淡的青色寒光锐利。,0,[],[],0,0,"[[1,50200,500]]",0,0,0,"[[1,53300,50]]",10000
113013,青霜剑法,1,3,1,1130,3,0,0,0,3,"[0,0,0]",1,1,1,1,{},0,"",[],1,"{""BaseHp"":67,""DcMin"":4,""DcMax"":6,""Ac"":4}","{""BaseHp"":67,""DcMin"":4,""DcMax"":6,""Ac"":4}",0,[],0,[],0,[],11601,剑法带着淡淡的青色寒光锐利。,0,[],[],0,0,"[[1,50200,500]]",0,0,0,"[[1,53300,50]]",10000
113014,青霜剑法,1,3,1,1130,4,0,0,0,4,"[0,0,0]",1,1,1,1,{},0,"",[],1,"{""BaseHp"":84,""DcMin"":5,""DcMax"":8,""Ac"":5}","{""BaseHp"":84,""DcMin"":5,""DcMax"":8,""Ac"":5}",0,[],0,[],0,[],11601,剑法带着淡淡的青色寒光锐利。,1,"[100,999999]",[10162],1,1,"[[1,50200,500]]",0,0,0,"[[1,53300,50]]",10000
