10001,醉蝶花,116,0,0,0,"{""Whole"":26687}",10000,1,2,1000,21,52,0,0,"[1,19003,1,1]",21,52,1,0
100001,灵剑,1,0,0,0,"{""Whole"":26331}",10000,1,2,1000,83,49,0,0,"[3,111012,1,1]",83,49,1,0
100006,丹木,3,4,0,0,"{""Whole"":26392}",5500,1,2,1000,20,51,0,0,"[1,150002,1,1]",20,51,1,0
100066,绝技剑,41,0,0,0,"{""Whole"":26616}",10000,1,2,1000,83,54,0,0,"[3,113012,1,1]",83,54,1,0
104001,剑墟令,39,0,0,0,"{""Whole"":26360}",6250,1,0,1000,25,30,0,0,"[1,11707,1,1]",25,30,1,0
101001,破障梵钟,29,0,0,0,"{""Whole"":26400}",5500,1,2,1000,37,13,0,0,"[1,150012,1,1]",37,13,1,0
101003,水煮牛肉,92,1,0,0,"{""Whole"":26664}",5500,1,2,1000,18,25,0,0,"[1,150017,1,1]",18,25,1,0
101004,丹木,3,1,0,0,"{""Whole"":26392}",5500,1,2,1000,20,26,0,0,"[1,150002,1,1]",20,26,1,0
101005,破障梵钟,29,1,0,0,"{""Whole"":26400}",5500,1,2,1000,18,28,0,0,"[1,150012,1,1]",18,28,1,0
101006,摩诃西行,90,0,0,0,"{""Whole"":26662}",5500,1,2,1000,10,36,0,0,"[1,150007,1,1]",10,36,1,0
101007,水煮牛肉,92,0,0,0,"{""Whole"":26664}",5500,1,2,1000,23,36,0,0,"[1,150017,1,1]",23,36,1,0
101008,丹木,3,0,0,0,"{""Whole"":26392}",5500,1,2,1000,14,39,0,0,"[1,150002,1,1]",14,39,1,0
101009,破障梵钟,29,24,0,0,"{""Whole"":26400}",5500,1,2,1000,27,45,0,0,"[1,150012,1,1]",27,45,1,0
101010,摩诃西行,90,24,0,0,"{""Whole"":26662}",5500,1,2,1000,29,45,0,0,"[1,150007,1,1]",29,45,1,0
101011,水煮牛肉,92,24,0,0,"{""Whole"":26664}",5500,1,2,1000,26,46,0,0,"[1,150017,1,1]",26,46,1,0
101012,丹木,3,24,0,0,"{""Whole"":26392}",5500,1,2,1000,30,46,0,0,"[1,150002,1,1]",30,46,1,0
101013,破障梵钟,29,3,0,0,"{""Whole"":26400}",5500,1,2,1000,6,48,0,0,"[1,150012,1,1]",6,48,1,0
101014,摩诃西行,90,3,0,0,"{""Whole"":26662}",5500,1,2,1000,7,48,0,0,"[1,150007,1,1]",7,48,1,0
